PMWh,CapCost,Pkg
70,900,5.109103615
70,600,4.775331155
70,400,4.554313722
70,100,4.443632691
60,900,4.532489441
60,600,4.198716981
60,400,3.977699547
60,100,3.867018516
50,900,3.955875266
50,600,3.622102807
50,400,3.401085373
50,100,3.290404342
40,900,3.379261092
40,600,3.045488632
40,400,2.824471199
40,100,2.713790168
30,900,2.802646918
30,600,2.468874458
30,400,2.247857024
30,100,2.137175993
20,900,2.226032744
20,600,1.892260284
20,400,1.67124285
20,100,1.560561819
10,900,1.649418569
10,600,1.315646109
10,400,1.094628676
10,100,0.983947645
1,900,1.130465812
1,600,0.796693352
1,400,0.575675919
1,100,0.464994888
